polymer_1,polymer_p2,ratio_1_2,filler_1,wt_l1,filler_2,wt_l2,foaming,conductivity,owner
HDPE,,,GNP,4.0108325822738475,,,0,0.01657169267309582,data set 4
HDPE,,,GNP,12.182586338200318,,,0,0.32895689390565575,data set 4
HDPE,,,GNP,9.946340146838377,,,0,0.28045648871111756,data set 4
HDPE,,,GNP,19.0010526062679,,,0,1.0929436026888115,data set 4
HDPE,,,GNP,17.120582320287852,,,0,0.8416069764115675,data set 4
HDPE,,,GNP,14.150233463100152,,,0,0.22102294874454878,data set 4
HDPE,,,GNP,9.067220183786635,,,0,0.04872133503117412,data set 4
HDPE,,,GNP,9.3133926460052,,,0,0.10961149180653479,data set 4
HDPE,,,GNP,14.510128416378867,,,0,0.16474364917535506,data set 4
HDPE,,,GNP,12.918359715205208,,,0,0.40606869959889413,data set 4
HDPE,,,GNP,9.834947324018358,,,0,0.17814771026828097,data set 4
HDPE,,,GNP,5.623779785715155,,,0,0.0185224507537964,data set 4
HDPE,,,GNP,17.92702681030094,,,0,0.47212942152172427,data set 4
HDPE,,,GNP,23.317105240136506,,,0,0.5821160885287625,data set 4
HDPE,,,GNP,24.49373314256011,,,0,0.5223504992134623,data set 4
HDPE,,,GNP,23.67689619802632,,,0,1.6376083052989876,data set 4
HDPE,,,GNP,3.96117719182412,,,0,0.00829607205536243,data set 4
HDPE,,,GNP,17.91556651585874,,,0,0.11784252086213826,data set 4
HDPE,,,GNP,10.114297133075207,,,0,0.12078073770994874,data set 4
HDPE,,,GNP,15.17126473509112,,,0,0.5298775955511537,data set 4
HDPE,,,GNP,8.334619759119555,,,0,0.09544863859219384,data set 4
HDPE,,,GNP,16.17317916671849,,,0,0.7791981289149351,data set 4
HDPE,,,GNP,3.8880673856894807,,,0,0.007024425092828528,data set 4
HDPE,,,GNP,4.8885519394913155,,,0,0.029425327653223858,data set 4
HDPE,,,GNP,9.581695511845641,,,0,0.048241433882598966,data set 4
HDPE,,,GNP,17.742813505914413,,,0,0.5277430367414431,data set 4
HDPE,,,GNP,9.637350074361681,,,0,0.04415490796653077,data set 4
HDPE,,,GNP,20.302142165269792,,,0,0.6532883547777878,data set 4
HDPE,,,GNP,11.531767485993464,,,0,0.26087661818570673,data set 4
HDPE,,,GNP,19.32213518727211,,,0,0.7666786855395721,data set 4
HDPE,,,GNP,10.658366640887087,,,0,0.1146963174208805,data set 4
HDPE,,,GNP,6.355171956302336,,,0,0.05362222058646943,data set 4
HDPE,,,GNP,18.953083866764178,,,0,0.5615348502263825,data set 4
HDPE,,,GNP,5.153148431854713,,,0,0.047514465634991,data set 4
HDPE,,,GNP,10.552821035853206,,,0,0.11542742877710455,data set 4
HDPE,,,GNP,9.265903621458534,,,0,0.15497377609195237,data set 4
HDPE,,,GNP,14.995082121514281,,,0,0.24553301515983283,data set 4
HDPE,,,GNP,19.741013579453604,,,0,0.7883030903948968,data set 4
HDPE,,,GNP,17.496988928602775,,,0,0.874131703370613,data set 4
HDPE,,,GNP,22.757034895806203,,,0,0.740599647359988,data set 4
HDPE,,,GNP,21.152937013878184,,,0,0.5749909219947078,data set 4
HDPE,,,GNP,15.977088932430728,,,0,0.4449060216025009,data set 4
HDPE,,,GNP,9.63298301491152,,,0,0.23205889821801887,data set 4
HDPE,,,GNP,20.65535063173846,,,0,1.123715219627068,data set 4
HDPE,,,GNP,3.162938003175171,,,0,0.001006728204507637,data set 4
HDPE,,,GNP,19.847103115134804,,,0,1.0695833830868537,data set 4
HDPE,,,GNP,18.732283642844262,,,0,0.5566011505227108,data set 4
HDPE,,,GNP,11.569265461418492,,,0,0.23166143504556827,data set 4
HDPE,,,GNP,19.914493362503652,,,0,1.1734256001076808,data set 4
HDPE,,,GNP,11.064392794997842,,,0,0.06427685191435777,data set 4
HDPE,,,GNP,9.732505583441132,,,0,0.1589250127705932,data set 4
HDPE,,,GNP,17.565754112538226,,,0,0.42418473438023513,data set 4
HDPE,,,GNP,24.438956291566566,,,0,1.700761303549888,data set 4
HDPE,,,GNP,9.614792688068242,,,0,0.17710264735052988,data set 4
HDPE,,,GNP,20.650666459975156,,,0,1.131593794370218,data set 4
